provider,country,language,url
Garmin,Denmark,dk,https://www.conradelektronik.dk/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252ddk%252fs%257d%257bl%252f02%252daa%252fl%257d%257bsf%252f%253cs1%253eFitbit%2520conrad%2520connect%253c%252fs1%253e%252fsf%257d%257bmd5%252f61208075b183bf53296cedc7a762af4b%252fmd5%257d&search_input=Garmin+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Logitech Harmony,Denmark,dk,https://www.conradelektronik.dk/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252ddk%252fs%257d%257bl%252f02%252daa%252fl%257d%257bsf%252f%253cs1%253eGarmin%2520conrad%2520connect%253c%252fs1%253e%252fsf%257d%257bmd5%252f87cf5ed175b0eb41c197ec90afc9964f%252fmd5%257d&search_input=Logitech+Harmony+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Mobile Alerts,Denmark,dk,https://www.conradelektronik.dk/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252ddk%252fs%257d%257bl%252f02%252daa%252fl%257d%257bsf%252f%253cs1%253eMobile%2520Alerts%253c%252fs1%253e%252fsf%257d%257bmd5%252f64e594cf5de62aa47b0dbaf9359e913e%252fmd5%257d&search_input=Mobile+Alerts+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Netatmo,Denmark,dk,https://www.conradelektronik.dk/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f3ec%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252ddk%252fs%257d%257bl%252f02%252daa%252fl%257d%257bmd5%252f40681438cceaf614dd0b8290d8e505c2%252fmd5%257d&act=search&dp2=ff_search&search_input=Netatmo&wsps_filter_brand=Netatmo&tpl=ws_search.htm&refKey=KzFAZHEjh
Philips Hue,Denmark,dk,https://www.conradelektronik.dk/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252ddk%252fs%257d%257bl%252f02%252daa%252fl%257d%257bsf%252f%253cs1%253ePhilips%2520Hue%2520conrad%2520connect%253c%252fs1%253e%252fsf%257d%257bmd5%252f229edeb7189988de8c316dc3f0278bbc%252fmd5%257d&search_input=Philips+Hue+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Innogy,Denmark,dk,https://www.conradelektronik.dk/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252ddk%252fs%257d%257bl%252f02%252daa%252fl%257d%257bsf%252f%253cs1%253ePolar%2520conrad%2520connect%253c%252fs1%253e%252fsf%257d%257bmd5%252f1dad9ace2252b23da96d8dcbf5024d83%252fmd5%257d&search_input=Innogy+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Smappee,Denmark,dk,https://www.conradelektronik.dk/Energiomkostningsm%e5ler-s%e6t-smappee-Smappee.htm?websale8=conrad-dk&pi=1422812&amp;ci=SHOP_AREA_93243_1114014
Withings,Denmark,dk,https://www.conradelektronik.dk/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252ddk%252fs%257d%257bl%252f02%252daa%252fl%257d%257bmi%252fSHOP%255fAREA%255f93243%255f1114014%252fmi%257d%257bpi%252f1422812%252fpi%257d%257bsf%252f%253cs1%253ewithings%253c%252fs1%253e%252fsf%257d%257bmd5%252f73bdebe9cde90c711f263e51eb62249a%252fmd5%257d&search_input=Withings+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Osram Lightify,Denmark,dk,https://www.conradelektronik.dk/websale8/?Ctx=%257bver%252f8%252fver%257d%257bst%252f417%252fst%257d%257bcmd%252f0%252fcmd%257d%257bm%252fwebsale%252fm%257d%257bs%252fconrad%252ddk%252fs%257d%257bl%252f02%252daa%252fl%257d%257bmi%252fSHOP%255fAREA%255f93243%255f1114014%252fmi%257d%257bpi%252f1422812%252fpi%257d%257bsf%252f%253cs1%253eWithings%2520conrad%2520connect%253c%252fs1%253e%252fsf%257d%257bmd5%252f1abc2376e68aa0c1add8663d6da4e258%252fmd5%257d&search_input=Osram+Lightify+conrad+connect&dp2=ff_search&otp3=factfinder_searchbox&tpl=ws_search.htm
Devolo,Switzerland,ch,http://www.conrad.ch/ce/de/Search.html?search=Devolo+Home+Control&searchType=mainSearchBar
